City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
161,Praia Da Vitoria,PT,38.7333,-27.0667,79.75,78,20,10.65,few clouds
162,Saskylakh,RU,71.9167,114.0833,29.93,89,100,14.05,overcast clouds
163,Husavik,IS,66.0449,-17.3389,47.82,71,95,6.98,overcast clouds
164,Otane,NZ,-39.8833,176.6333,47.01,92,72,1.83,broken clouds
165,Ust-Kut,RU,56.7938,105.7672,38.17,79,59,2.89,broken clouds
166,Mumford,GH,5.2618,-0.759,77.95,81,76,12.17,broken clouds
167,Bowen,AU,-20.0167,148.2333,71.2,89,0,3.83,clear sky
168,Boyolangu,ID,-8.1181,111.8935,74.21,89,99,4.14,overcast clouds
169,Khatanga,RU,71.9667,102.5,26.91,92,90,12.62,overcast clouds
170,Maumere,ID,-8.6199,122.2111,77.27,77,92,5.59,overcast clouds
171,Plouzane,FR,48.3833,-4.6167,64.45,54,0,13.8,clear sky
172,Zhangjiakou,CN,40.81,114.8794,67.17,45,81,3.38,broken clouds
173,La Ronge,CA,55.1001,-105.2842,52.05,82,75,13.8,broken clouds
174,Ketchikan,US,55.3422,-131.6461,50.88,91,63,3.69,broken clouds
175,Kruisfontein,ZA,-34.0033,24.7314,62.89,86,42,12.28,scattered clouds
176,Avarua,CK,-21.2078,-159.775,73.45,78,40,16.11,scattered clouds
177,Nogliki,RU,51.8333,143.1667,47.57,66,98,7.56,overcast clouds
178,Victoria,HK,22.2855,114.1577,88.32,68,26,3.0,scattered clouds
179,Gillette,US,44.2911,-105.5022,59.05,88,9,8.01,clear sky
180,Vila Velha,BR,-20.3297,-40.2925,73.35,89,75,5.01,broken clouds
181,Qasigiannguit,GL,68.8193,-51.1922,39.22,89,100,4.18,overcast clouds
182,Barra Patuca,HN,15.8,-84.2833,81.79,80,98,5.19,overcast clouds
183,Menongue,AO,-14.6585,17.691,86.49,9,12,6.2,few clouds
184,Chuy,UY,-33.6971,-53.4616,66.27,55,2,14.81,clear sky
185,Ostrovnoy,RU,68.0531,39.5131,48.36,98,100,5.12,overcast clouds
186,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.09,87,100,15.37,overcast clouds
187,Buala,SB,-8.145,159.5921,79.5,75,3,4.09,clear sky
188,Qaanaaq,GL,77.484,-69.3632,33.42,89,100,4.74,overcast clouds
189,Sarangani,PH,5.4033,125.4636,83.7,71,99,7.65,overcast clouds
190,Dhone,IN,15.4167,77.8833,78.75,74,99,13.35,overcast clouds
191,Clyde River,CA,70.4692,-68.5914,39.43,93,100,6.91,overcast clouds
192,Tasiilaq,GL,65.6145,-37.6368,39.07,73,100,2.8,overcast clouds
193,Kavaratti,IN,10.5669,72.642,80.73,78,38,9.1,scattered clouds
194,Berlevag,NO,70.8578,29.0864,46.35,81,75,21.85,broken clouds
195,Katangli,RU,51.7102,143.2326,46.58,65,98,7.63,overcast clouds
196,Esperance,AU,-33.8667,121.9,52.83,78,9,11.81,clear sky
197,Raypur,IN,22.4108,88.5094,84.06,90,100,6.73,overcast clouds
198,Kahului,US,20.8947,-156.47,76.84,88,18,3.0,few clouds
199,Aquidauana,BR,-20.4711,-55.7872,86.61,25,36,5.64,scattered clouds
200,Am Timan,TD,11.0297,20.2827,78.91,85,91,4.81,moderate rain
201,Gisborne,NZ,-38.6533,178.0042,49.5,79,100,3.02,overcast clouds
202,Cherskiy,RU,68.75,161.3,33.78,97,100,8.43,overcast clouds
203,Kroya,ID,-7.6331,109.2461,76.89,89,100,6.29,light rain
204,Dryden,CA,49.7833,-92.7503,50.29,100,100,9.22,mist
205,Nefteyugansk,RU,61.0998,72.6035,53.55,64,100,8.08,overcast clouds
206,Hithadhoo,MV,-0.6,73.0833,82.0,67,0,5.48,clear sky
207,Iqaluit,CA,63.7506,-68.5145,46.13,65,40,5.75,scattered clouds
208,Srivardhan,IN,18.0333,73.0167,78.28,89,100,9.19,overcast clouds
209,Constitucion,CL,-35.3333,-72.4167,56.88,86,100,10.42,overcast clouds
210,Carnarvon,AU,-24.8667,113.6333,66.18,72,0,18.54,clear sky
211,Nouadhibou,MR,20.931,-17.0347,84.18,51,0,18.41,clear sky
212,Codrington,AU,-38.2667,141.9667,49.75,85,100,15.66,overcast clouds
213,Palmer,US,42.1584,-72.3287,68.5,54,29,1.01,scattered clouds
214,Chekalin,RU,54.0969,36.245,53.53,94,95,7.0,overcast clouds
215,Labuhan,ID,-6.8844,112.2051,76.87,85,100,6.46,light rain
216,Mayo,US,38.8876,-76.5119,76.35,63,7,1.01,clear sky
217,Glens Falls,US,43.3095,-73.644,65.16,65,92,1.99,overcast clouds
218,Porto Nacional,BR,-10.7081,-48.4172,95.0,14,23,4.74,few clouds
219,Nizhneangarsk,RU,55.7833,109.55,42.69,60,57,10.83,broken clouds
220,Graham,US,47.0529,-122.2943,55.89,83,100,3.44,overcast clouds
221,Kailua,US,21.4022,-157.7394,75.43,90,34,6.58,scattered clouds
222,Waterloo,CA,43.4668,-80.5164,76.48,73,0,8.05,clear sky
223,Severo-Kurilsk,RU,50.6789,156.125,48.56,79,10,13.71,clear sky
224,Rochegda,RU,62.8,43.25,50.65,95,100,7.27,overcast clouds
225,Saint-Pierre,RE,-21.3393,55.4781,69.48,68,0,14.97,clear sky
226,Richards Bay,ZA,-28.783,32.0377,75.33,61,0,14.0,clear sky
227,Kapit,MY,2.0167,112.9333,74.59,92,97,1.32,overcast clouds
228,Aquiraz,BR,-3.9014,-38.3911,86.09,60,39,15.59,scattered clouds
229,Bell Ville,AR,-32.6259,-62.6887,77.81,22,100,20.54,overcast clouds
230,Angoram,PG,-4.0625,144.0661,73.51,99,100,3.58,overcast clouds
231,Tual,ID,-5.6667,132.75,81.45,80,100,11.32,moderate rain
232,Hofn,IS,64.2539,-15.2082,50.02,76,0,5.75,clear sky
233,Temerloh,MY,3.4483,102.4176,75.07,94,100,1.3,overcast clouds
234,Tuatapere,NZ,-46.1333,167.6833,36.52,90,4,4.61,clear sky
235,Hamilton,US,39.1834,-84.5333,80.22,70,15,1.99,few clouds
236,Tomigusuku,JP,26.185,127.675,82.17,89,14,17.27,few clouds
237,Khani,GE,41.9563,42.9566,63.97,63,56,5.55,broken clouds
238,Gwadar,PK,25.1216,62.3254,80.71,88,4,5.68,clear sky
239,Saiha,IN,22.4833,92.9667,69.78,99,76,1.86,broken clouds
240,Goure,NE,13.9835,10.2704,94.69,33,100,8.46,overcast clouds
241,Pasighat,IN,28.0667,95.3333,76.3,97,76,2.98,broken clouds
242,Sola,VU,-13.8833,167.55,80.08,78,20,15.3,few clouds
243,Cadillac,US,44.2519,-85.4012,75.11,69,0,6.91,clear sky
244,Guanica,PR,17.9716,-66.908,92.5,68,98,12.37,overcast clouds
245,Bonavista,CA,48.6499,-53.1147,55.62,88,97,13.2,light rain
246,Caravelas,BR,-17.7125,-39.2481,81.07,59,97,8.55,overcast clouds
