City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Hirara,JP,2022-09-13 15:32:52,24.8,125.2833,81.59,81,100,13.56
132,Saskylakh,RU,2022-09-13 15:32:52,71.9167,114.0833,35.22,86,100,2.77
133,Jacareacanga,BR,2022-09-13 15:32:53,-6.2222,-57.7528,103.89,23,2,2.26
134,Japura,ID,2022-09-13 15:33:54,-0.3167,102.35,72.86,97,100,4.56
135,Matay,EG,2022-09-13 15:33:55,28.419,30.7792,93.13,19,0,11.32
136,Esperance,AU,2022-09-13 15:33:55,-33.8667,121.9,51.64,68,83,30.06
137,Chokurdakh,RU,2022-09-13 15:33:55,70.6333,147.9167,32.59,86,29,6.15
138,East London,ZA,2022-09-13 15:33:56,-33.0153,27.9116,65.34,68,0,9.22
139,Pindiga,NG,2022-09-13 15:33:56,9.9833,10.9333,73.09,83,100,10.8
140,Ucluelet,CA,2022-09-13 15:33:56,48.9329,-125.5528,56.08,92,32,1.34
141,Takoradi,GH,2022-09-13 15:33:57,4.8845,-1.7554,76.98,84,88,11.52
142,San Lawrenz,MT,2022-09-13 15:33:57,36.0553,14.204,83.86,65,1,1.01
143,Bonavista,CA,2022-09-13 15:32:00,48.6499,-53.1147,56.84,95,100,26.62
144,Lasa,IT,2022-09-13 15:33:57,46.6166,10.7002,72.48,50,39,1.12
145,Syracuse,IT,2022-09-13 15:30:33,37.0881,15.2792,85.59,64,31,9.69
146,Palmer,US,2022-09-13 15:33:58,42.1584,-72.3287,75.81,80,75,8.05
147,Uberaba,BR,2022-09-13 15:33:58,-19.7483,-47.9319,93.78,12,31,17.27
148,Dunedin,NZ,2022-09-13 15:33:58,-45.8742,170.5036,38.8,76,86,3.0
149,Porbandar,IN,2022-09-13 15:33:59,21.6422,69.6093,78.78,94,75,0.0
150,Saint George,US,2022-09-13 15:33:59,37.1041,-113.5841,68.63,77,100,1.01
151,Port Alfred,ZA,2022-09-13 15:33:59,-33.5906,26.891,64.18,75,1,3.0
152,Morada Nova,BR,2022-09-13 15:34:00,-5.1067,-38.3725,97.61,24,19,6.8
153,Ulladulla,AU,2022-09-13 15:34:00,-35.35,150.4667,48.07,83,43,5.79
154,Pochutla,MX,2022-09-13 15:34:00,15.7432,-96.4661,82.81,81,100,0.63
155,Saldanha,ZA,2022-09-13 15:34:01,-33.0117,17.9442,75.25,78,2,13.44
156,Muros,ES,2022-09-13 15:34:01,42.7762,-9.0603,71.83,81,98,20.22
157,Chernyshevskiy,RU,2022-09-13 15:34:01,63.0128,112.4714,37.31,85,100,10.07
158,Wagga Wagga,AU,2022-09-13 15:30:02,-35.1167,147.3667,44.6,90,3,5.75
159,Lovozero,RU,2022-09-13 15:34:02,68.005,35.0117,45.5,90,96,6.71
160,Troitsko-Pechorsk,RU,2022-09-13 15:34:03,62.7084,56.1964,47.35,91,100,6.46
161,Bethel,US,2022-09-13 15:34:03,41.3712,-73.414,76.51,83,100,9.22
162,Stonewall,CA,2022-09-13 15:34:03,50.1344,-97.3268,57.78,43,39,9.78
163,Fortuna,US,2022-09-13 15:34:04,40.5982,-124.1573,52.99,84,28,2.19
164,Henties Bay,NA,2022-09-13 15:34:04,-22.116,14.2845,63.03,68,0,4.88
165,Olafsvik,IS,2022-09-13 15:34:05,64.8945,-23.7142,49.08,77,20,8.08
166,Sosnovo-Ozerskoye,RU,2022-09-13 15:34:05,52.5249,111.5418,40.32,77,85,6.71
167,The Valley,AI,2022-09-13 15:34:06,18.217,-63.0578,89.46,70,40,12.66
168,Ankpa,NG,2022-09-13 15:34:06,7.3706,7.6253,74.07,93,100,6.78
169,Strezhevoy,RU,2022-09-13 15:34:06,60.7333,77.5889,44.06,87,96,8.28
170,Vung Tau,VN,2022-09-13 15:34:07,10.346,107.0843,82.24,79,15,12.03
171,Matara,LK,2022-09-13 15:34:07,5.9485,80.5353,77.25,91,74,6.8
172,Beaverlodge,CA,2022-09-13 15:30:31,55.2166,-119.4361,42.15,48,78,4.21
173,Saint-Philippe,RE,2022-09-13 15:34:08,-21.3585,55.7679,71.19,71,56,5.06
174,Boguchany,RU,2022-09-13 15:34:08,58.3814,97.4531,37.9,87,29,2.71
175,Saint John,CA,2022-09-13 15:34:09,45.2727,-66.0677,63.63,94,100,8.05
176,Port Lincoln,AU,2022-09-13 15:30:37,-34.7333,135.8667,64.02,49,85,20.09
177,Hvolsvollur,IS,2022-09-13 15:34:09,63.7533,-20.2243,52.47,63,18,5.41
178,San Andres,CO,2022-09-13 15:34:09,12.5847,-81.7006,87.82,74,40,8.05
179,Olinda,BR,2022-09-13 15:34:10,-8.0089,-34.8553,82.13,65,40,13.8
180,Tiksi,RU,2022-09-13 15:34:10,71.6872,128.8694,38.26,85,83,6.22
181,Nurota,UZ,2022-09-13 15:34:11,40.5614,65.6886,68.25,27,0,8.99
182,Kudahuvadhoo,MV,2022-09-13 15:35:11,2.6708,72.8944,82.22,69,20,4.38
183,Alugan,PH,2022-09-13 15:35:12,12.2188,125.4808,77.74,89,82,5.44
184,Yambio,SS,2022-09-13 15:35:12,4.5721,28.3955,72.7,90,89,2.75
185,Mabaruma,GY,2022-09-13 15:35:13,8.2,-59.7833,89.56,51,90,4.54
186,Sioux Lookout,CA,2022-09-13 15:35:13,50.1001,-91.917,55.47,54,20,6.91
187,Longyearbyen,SJ,2022-09-13 15:35:14,78.2186,15.6401,37.24,75,75,8.05
188,Hobyo,SO,2022-09-13 15:35:14,5.3505,48.5268,76.91,85,71,26.02
189,Faanui,PF,2022-09-13 15:35:14,-16.4833,-151.75,77.54,76,100,20.62
190,Jalingo,NG,2022-09-13 15:35:15,8.8833,11.3667,71.24,95,100,3.98
191,Shujalpur,IN,2022-09-13 15:35:15,23.4,76.7167,75.24,95,100,0.72
192,Sangar,RU,2022-09-13 15:35:16,63.9242,127.4739,42.3,94,100,19.19
193,Tahoua,NE,2022-09-13 15:35:17,14.8888,5.2692,94.98,41,20,6.91
194,Shebunino,RU,2022-09-13 15:35:17,46.4339,141.8603,53.44,81,95,13.8
195,Iwanai,JP,2022-09-13 15:35:17,42.9744,140.5089,59.4,92,14,7.67
196,Ribeira Grande,PT,2022-09-13 15:35:18,38.5167,-28.7,79.2,89,75,12.66
197,Kamenka,RU,2022-09-13 15:35:18,51.3223,42.7678,52.43,83,100,17.98
198,Leningradskiy,RU,2022-09-13 15:35:19,69.3833,178.4167,36.0,95,100,3.51
199,Tsiroanomandidy,MG,2022-09-13 15:35:19,-18.7667,46.0333,74.32,24,1,5.12
200,Nagai,JP,2022-09-13 15:35:20,38.1036,140.035,67.96,96,100,2.46
201,Buncrana,IE,2022-09-13 15:35:20,55.1333,-7.45,62.37,73,1,11.25
202,Husavik,IS,2022-09-13 15:35:20,66.0449,-17.3389,46.4,90,97,11.52
203,La Palma,US,2022-09-13 15:35:21,33.8464,-118.0467,77.81,81,75,3.44
204,Isangel,VU,2022-09-13 15:35:21,-19.55,169.2667,69.91,88,40,4.61
205,Planadas,CO,2022-09-13 15:35:22,3.197,-75.6451,64.83,70,94,4.65
206,Ibimirim,BR,2022-09-13 15:35:22,-8.5406,-37.6903,88.47,35,7,12.1
207,San Patricio,US,2022-09-13 15:35:22,28.017,-97.5169,87.69,57,18,4.65
208,Guerrero Negro,MX,2022-09-13 15:33:13,27.9769,-114.0611,74.52,77,0,8.75
209,Pacific Grove,US,2022-09-13 15:35:23,36.6177,-121.9166,63.41,87,0,5.75
210,Shimoda,JP,2022-09-13 15:35:23,34.6667,138.95,75.11,89,100,6.24
211,Khatanga,RU,2022-09-13 15:35:24,71.9667,102.5,31.26,74,87,7.45
212,Nikolskoye,RU,2022-09-13 15:35:24,59.7035,30.7861,58.89,74,55,5.01
213,Kindu,CD,2022-09-13 15:35:25,-2.95,25.95,80.01,69,98,1.66
214,Santa Rosa,PH,2022-09-13 15:32:59,14.3122,121.1114,84.11,88,87,6.46
215,Shepetivka,UA,2022-09-13 15:35:25,50.1855,27.0637,54.19,80,100,7.72
216,Klaksvik,FO,2022-09-13 15:35:26,62.2266,-6.589,52.72,85,100,9.19
217,Kupang,ID,2022-09-13 15:35:26,-10.1667,123.5833,78.19,82,24,10.94
218,Itoman,JP,2022-09-13 15:35:26,26.1247,127.6694,82.42,91,75,9.22
219,Baykit,RU,2022-09-13 15:35:27,61.67,96.37,41.4,91,97,4.09
220,Qaqortoq,GL,2022-09-13 15:35:27,60.7167,-46.0333,46.36,80,12,7.85
221,Labuhan,ID,2022-09-13 15:35:28,-6.8844,112.2051,79.0,79,24,4.83
222,Waingapu,ID,2022-09-13 15:35:28,-9.6567,120.2641,76.98,80,5,8.21
223,Kondopoga,RU,2022-09-13 15:35:29,62.2057,34.2614,59.7,78,100,5.03
224,Mutis,CO,2022-09-13 15:35:29,6.2262,-77.4044,80.6,80,91,7.2
225,Santo Antonio De Padua,BR,2022-09-13 15:35:29,-21.5394,-42.1803,88.41,41,66,5.03
226,Nouadhibou,MR,2022-09-13 15:35:30,20.931,-17.0347,74.48,83,98,20.18
227,Laguna,US,2022-09-13 15:36:30,38.421,-121.4238,68.31,75,0,13.8
228,Fort Abbas,PK,2022-09-13 15:36:31,29.1925,72.8536,95.2,37,74,10.69
229,Lorengau,PG,2022-09-13 15:36:31,-2.0226,147.2712,80.78,70,26,9.44
230,Hasaki,JP,2022-09-13 15:36:32,35.7333,140.8333,75.6,91,100,3.69
231,Nome,US,2022-09-13 15:36:32,64.5011,-165.4064,50.16,87,100,6.91
232,Marovoay,MG,2022-09-13 15:36:32,-16.1,46.6333,80.15,38,7,3.94
233,Toora-Khem,RU,2022-09-13 15:36:33,52.4675,96.11,38.91,74,61,2.57
234,Beloha,MG,2022-09-13 15:36:33,-25.1667,45.05,67.19,73,38,12.82
235,Preobrazheniye,RU,2022-09-13 15:36:33,42.9019,133.9064,57.72,68,84,5.7
236,Deniliquin,AU,2022-09-13 15:36:34,-35.5333,144.9667,38.35,77,0,6.58
237,Kushiro,JP,2022-09-13 15:36:34,42.975,144.3747,62.15,91,0,11.9
238,Phalaborwa,ZA,2022-09-13 15:36:34,-23.943,31.1411,65.35,74,96,14.18
239,Xihe,CN,2022-09-13 15:36:35,31.6864,113.4659,70.92,63,0,7.65
240,Vardo,NO,2022-09-13 15:36:35,70.3705,31.1107,48.18,87,100,4.61
241,Viedma,AR,2022-09-13 15:36:36,-40.8135,-62.9967,61.92,40,13,0.25
242,Kirensk,RU,2022-09-13 15:36:36,57.7853,108.1119,42.49,96,100,8.43
243,Yazman,PK,2022-09-13 15:36:37,29.1212,71.7446,95.45,35,50,10.69
244,Gamba,GA,2022-09-13 15:36:37,-2.65,10.0,77.45,68,51,8.05
245,Luwuk,ID,2022-09-13 15:36:37,-0.9516,122.7875,75.22,88,49,5.88
246,Asau,RO,2022-09-13 15:36:38,46.4333,26.4,60.28,80,85,0.96
247,Jiangyou,CN,2022-09-13 15:36:38,31.7667,104.7167,70.66,89,97,4.7
248,Dulovo,BG,2022-09-13 15:36:38,43.8167,27.15,69.55,46,98,4.81
249,Saint Anthony,US,2022-09-13 15:36:39,45.0205,-93.218,72.66,60,0,5.75
250,Ambulu,ID,2022-09-13 15:36:39,-8.345,113.6058,75.65,84,55,4.14
251,Kikwit,CD,2022-09-13 15:36:39,-5.041,18.8162,91.17,37,95,2.3
252,Usinsk,RU,2022-09-13 15:36:40,65.9939,57.5281,43.86,94,100,9.08
253,Cidreira,BR,2022-09-13 15:36:40,-30.1811,-50.2056,67.42,62,28,13.82
254,Oussouye,SN,2022-09-13 15:36:40,12.485,-16.5469,91.58,69,100,12.46
255,Petatlan,MX,2022-09-13 15:36:41,17.5167,-101.2667,80.4,65,100,3.0
256,Naze,JP,2022-09-13 15:36:41,28.3667,129.4833,81.52,85,41,16.96
257,Torres,BR,2022-09-13 15:36:41,-29.3353,-49.7269,72.82,76,36,8.88
258,Alexandria,EG,2022-09-13 15:33:04,31.2156,29.9553,84.16,58,20,13.8
